Rank,Instructor's Code,Revenue After VAT
1,yoong.phayoongsak,819740.19
2,naruemol,504102.8
3,tum.nuttawut,436012.15
4,beer.nattaya,387454.21
5,pote.sompote,364542.06
6,goong.wina,351588.79
7,poppy.yang,345120.56
8,pang.phitsanukhom,338913.08
9,ya.suriya,332377.57
10,nong.chuanphit,284761.68
11,ming.tanapa,258148.6
12,top.sutee,255043.93
13,oh.pavinee,246482.24
14,naruemol,226010.28
15,jack.narongdech,223083.17
16,kwan.lamwat,217539.25
17,mai.laddawan,217539.25
18,pipit.pipit,216605.61
19,meen.thetarot,211937.38
20,kwanrudee,204468.22
21,nid.chanidaba,199761.68
22,kai.kanok,183196.26
23,pae.santapol,179289.72
24,nook.lapatrada,175525.23
25,yut.sensei,164859.81
26,yut.sensei,164859.81
27,pichart.yapan,143968.22
28,yoo.piyaree,140046.73
29,nong.alongkon,137551.4
30,kiat.kiattirat,137551.4
31,att.atthaphon,125281.31
32,jo.nawaphon,122307.48
33,ming.tanapa,121214.02
34,ahtapol.thongsima,119355.14
35,jaow.nipaporn,117639.25
36,sorn.pisuttisak,117336.45
37,suhari.graphic,116705.61
38,up.lalana,112895.33
39,a.nattapon,111010.28
40,aon.kritsana,109754.68
41,ya.suriya,109754.67
42,pu.narusamon,99000
43,nopp.noppakhun,98966.36
44,ake.adisorn,98139.25
45,ome.chonlatid,97982.25
46,kai.kanok,96547.66
47,jyjy.benyapa,92523.36
48,joey.soonthara,91614.95
49,mind.english,91497.2
50,winner.estate,90672.9
51,poy.pornpat,85708.41
52,film.thanapat,85571.03
53,mongkol.astro,84028.04
54,nong.alongkon,81420.56
55,da.preda,81420.56
56,pook.wattanee,72824.3
57,kaew.rada,72785.05
58,ya.suriya,72785.05
59,jo.nawaphon,66288.79
60,niwat.churat,64787.85
61,tum.pitoon,62915.89
62,jackie.panom,57364.49
63,jyjy.benyapa,56920.56
64,joke.warong,56838.32
65,joke.warong,56838.32
66,jyjy.benyapa,56829.91
67,golf.thanakrit,53217.76
68,tingly.rachata,51522.43
69,tingly.rachata,50579.44
70,poy.pornpat,48302.8
71,jo.nawaphon,47890.65
72,taou.panitta,46682.24
73,samroeng,46219.63
74,jen.jenphob,45142.06
75,jern.jiratchaya,43881.31
76,tong.duriyang,43881.31
77,jo.nawaphon,42009.35
78,teddy.lertporn,36968.22
79,kiat.kiattirat,35775.7
80,mac.rattanasuwan,35478.5
81,jeed.pienporn,34544.86
82,mind.english,34544.86
83,hugo.sittichai,31743.93
84,pang.papawadee,30532.71
85,poppy.yang,30096.26
86,poppy.yang,30047.66
87,kai.kanok,29785.98
88,sai.nuanlahong,29308.42
89,jen.jenphob,29136.45
90,jen.jenphob,27922.43
91,keerati.panyanearamitdee,26170.09
92,keerati.panyanearamitdee,26128.97
93,tingly.rachata,24677.57
94,tingly.rachata,24670.09
95,tingly.rachata,24670.09
96,nhow.manit,24056.07
97,patch.patcharanan,23341.12
98,poppy.yang,22205.61
99,nut.nuttawat,21280.37
100,film.thanapat,20540.19
101,nut.nuttawat,20282.24
102,meen.thetarot,20249.53
103,kay.sukree,19429.91
104,man.thanakon,18925.24
105,man.thanakon,18925.23
106,aom.santi,17739.25
107,nong.alongkon,17739.25
108,chachchai,17579.44
109,pang.papawadee,16679.44
110,ploy.patchara,15602.8
111,chachchai,15602.8
112,satapol.eta,14379.44
113,ammy.pattamanan,13878.5
114,noi.nareesa,13442.99
115,nan.nantpipat,12970.09
116,ploy.patchara,12602.8
117,tingly.rachata,12137.38
118,mongkon.tuntisuk,12137.38
119,champ.itsanai,11762.62
120,poppy.yang,11207.48
121,wit.chatuwit,11207.48
122,ploy.patchara,11122.43
123,kwan.satha,11104.67
124,nut.nuttawat,11102.8
125,apple.somsri,8402.8
126,tai.boontarika,7469.16
127,ying.petchararat,7101.87
128,aun.bundit,6721.5
129,nan.nantpipat,6537.38
130,naret.training,6476.64
131,a.nattapon,6121.5
132,gao.supachai,5551.4
133,noi.nareesa,5041.12
134,samroeng,4903.74
135,champ.itsanai,4903.74
136,toey.thanavadee,4724.3
137,kwanrudee,4668.22
138,beer.nattaya,4668.22
139,film.thanapat,4668.22
140,man.thanakon,4668.22
141,chachchai,4626.17
142,aom.santi,4317.76
143,aom.santi,4317.76
144,aom.santi,4317.76
145,nop.noppadon,4317.76
146,kaew.rada,4200.93
147,vee.veerachai,4200.93
148,pingpong.phongkit,3925.23
149,pakky,3922.43
150,pakorn,3919.63
151,nid.chanidaba,3738.32
152,aom.santi,3734.58
153,tum.pitoon,3734.58
154,ploy.patchara,3714.95
155,chachchai,3714.95
156,aom.santi,3700.93
157,att.atthaphon,3360.75
158,apple.somsri,3360.75
159,vee.veerachai,3360.75
160,ning.nanthawadee,3084.11
161,ying.petchararat,3084.11
162,nan.nantpipat,3018.69
163,poj.suttipoj,2803.74
164,almon.nipat,2800.93
165,da.preda,2800.93
166,new.eakpob,2800.93
167,toey.panida,2800.93
168,tum.pitoon,2800.93
169,kwan.satha,2775.7
170,ying.petchararat,2775.7
171,meen.thetarot,2615.89
172,peng.worawut,2520.56
173,aun.bundit,2520.56
174,peng.worawut,2520.56
175,aun.bundit,2520.56
176,tum.pitoon,2428.04
177,pook.wattanee,2054.21
178,mai.laddawan,1867.29
179,mongkon.tuntisuk,1867.29
180,nan.nantpipat,1867.29
181,nop.noppadon,1867.29
182,wat.chaiwat,1867.29
183,peng.worawut,1867.29
184,jern.jiratchaya,1867.29
185,champ.itsanai,1850.47
186,ome.chonlatid,1775.7
187,samroeng,1773.83
188,aun.bundit,1680.37
189,peng.worawut,1680.37
190,pin.saypin,1680.37
191,aom.santi,1308.41
192,tum.pitoon,1308.41
193,aom.santi,1306.54
194,tum.pitoon,1306.54
195,aom.santi,1214.96
196,aom.santi,1214.95
197,champ.itsanai,1214.95
198,ploy.patchara,1214.02
199,nopp.noppakhun,1205.61
200,hugo.sittichai,1200.93
201,ploy.patchara,1046.73
202,jo.nawaphon,1027.1
203,pook.wattanee,1027.1
204,aom.santi,933.64
205,keerati.panyanearamitdee,933.64
206,nook.lapatrada,933.64
207,keerati.panyanearamitdee,933.64
208,man.thanakon,933.64
209,meen.thetarot,933.64
210,ning.peerada,933.64
211,oh.pavinee,933.64
212,ome.chonlatid,933.64
213,pakorn,933.64
214,ton.panus,933.64
215,aun.bundit,933.64
216,jern.jiratchaya,933.64
217,wat.chaiwat,933.64
218,aun.bundit,933.64
219,jern.jiratchaya,933.64
220,pin.saypin,933.64
221,aon.kritsana,925.23
