Rank,Instructor's Code,Total revenue
1,kai.kanok,"935,568"
2,nhow.manit,"776,169"
3,naruemol,"554,683"
4,kiat.kiattirat,"405,900"
5,vichai.vongsilpavattana,"399,960"
6,beer.nattaya,"381,618"
7,tai.boontarika,"351,648"
8,aon.kritsana,"264,348"
9,jeab.nanlini,"263,433"
10,tor.surat,"219,798"
11,pop.chake,"210,789"
12,poppy.yang,"208,890"
13,pang.papawadee,"197,631"
14,pang.phitsanukhom,"196,803.00"
15,kwanrudee,"185,714"
16,champ.itsanai,"185,394"
17,gong.somphob,"162,800"
18,att.atthaphon,"161,820"
19,oh.pavinee,"156,843"
20,aom.santi,"153,846"
21,film.thanapat,"145,854"
22,khunpon.ratchapon,"144,540"
23,chachchai,"141,570"
24,aom.santi,"139,860"
25,nuong.tanavit,"137,862"
26,pichart.yapan,"119,391"
27,pompam.saowapa,"115,362"
28,jyjy.benyapa,"114,840"
29,ome.chonlatid,"110,889"
30,tum.pitoon,"107,817"
31,poy.pornpat,"104,949"
32,pipit.pipit,"101,898"
33,tum.pitoon,"99,900"
34,top.sutee,"97,991"
35,woratep,"94,905"
36,kaew.rada,"88,102"
37,pich.pichaya,84906
38,tor.surat,"83,916"
39,m.l.chaivat,"80,919"
40,golf.thanakrit,"77,922"
41,man.thanakon,"75,924"
42,new.eakpob,"73,926"
43,da.preda,"66,933"
44,ruj.nopparuj,"63,829"
45,nook.lapatrada,"61,938"
46,tum.pitoon,"58,941"
47,white.waiwit,"55,935"
48,keerati.panyanearamitdee,"53,946"
49,samroeng,"45,059"
50,aom.santi,"36,963"
51,paul.warathaphon,"34,965"
52,ung.chaiwut,"24,199"
53,gao.supachai,"22,779"
54,teddy.lertporn,"21,477"
55,noi.nareesa,"19,778"
56,ning.peerada,"17,982"
57,peng.worawut,"17,980"
58,mongkon.tuntisuk,"16,983"
59,aom.santi,"16,900"
60,m.l.chaivat,"16,839"
61,mook.mookdawadee,"16,839"
62,tar.ruch,"12,879"
63,pakorn,"10,788"
64,film.thanapat,"10,640"
65,att.atthaphon,"9,889"
66,vee.manusvee,"8,991"
67,vee.veerachai,"8,002"
68,poppy.yang,"7,920"
69,pook.wattanee,"7,693"
70,tong.pantit,"6,993"
71,vee.manusvee,"4,995"
72,pin.saypin,"4,695.00"
73,m.l.chaivat,"3,996"
74,ya.suriya,"3,960"
75,jackie.panom,"3,796"
76,aun.bundit,"3,596"
77,aof.suebsakul,"2,997"
78,keerati.panyanearamitdee,"2,997"
79,naruemol,"2,979"
80,aom.santi,"1,998"
81,aom.santi,"1,998"
82,phol.teerasej,"1,998.00"
83,sit.poompat,"1,998"
84,aom.santi,"1,980"
85,beer.nattaya,"1,980"
86,wit.chatuwit,"1,980"
87,peng.worawut,"1,798"
88,ploy.warossamon,"1,798"
89,uay.uaychai,"1,798"
90,ung.chaiwut,"1,599"
91,man.thanakon,"1,299"
92,teddy.lertporn,"1,299.00"
93,m.l.chaivat,"1,169"
94,pook.wattanee,"1,099"
95,aom.santi,999
96,aom.santi,999
97,aun.bundit,999
98,kwanrudee,999
99,miew.nada,999
100,thong.thongpanchang,999
101,ton.panus,999
102,tor.surat,999
103,ung.chaiwut,999
104,aon.kritsana,990
105,gao.supachai,990
106,ome.chonlatid,950
107,aun.bundit,899
108,nong.chuanphit,899
109,ton.panus,899
110,ton.panus,899
111,ung.chaiwut,899
,,"9,547,176"
